"PT ASURANSI CANDI UTAMA
Kantor Pusat
AXA Tower Kuningan City Lantai 32 Suite 1
Jl. Prof.Dr.Satrio Kav.18, Jakarta 12940 - Indonesia
Telp (021) 3005 1888  (Hunting),Fax (021) 3005 1889
LAPORAN KEUANGAN
E-mail : info@candiutama.co.id
Website http://www.candiutama.co.id
Per 31 Desember 2023 dan 2022
Kantor  Pemasaran
Semarang, Surabaya, Bandung, Pontianak, Pekanbaru, Yogyakarta, Medan, Alam Sutera, Bogor","","","","","","","","","","","","Keterangan :
*) Sesuai dengan ketentuan Pasal 3 ayat (1), ayat (2), dan ayat (3) Peraturan Otoritas Jasa Keuangan 
nomor 71/POJK.05/2016 tentang Kesehatan Keuangan Perusahaan Asuransi dan Perusahaan 
Reasuransi, rasio pencapaian tingkat solvabilitas sekurang-kurangnya adalah 100% dengan target 
internal paling rendah 120% dari MMBR.
Catatan :
a. Angka (nilai) yang disajikan pada Laporan Posisi Keuangan dan Laporan Laba Rugi Komprehensif 
berdasarkan SAK (Unaudited).
b. Kurs pada tanggal 31 Desember 2023, 1 US $  : Rp. 15.416,00
    Kurs pada tanggal 31 Desember 2022, 1 US $  : Rp. 15.731,00
Jakarta,  10 Januari 2024
Direksi
PT. Asuransi Candi Utama","","","",""
"","LAPORAN POSISI KEUANGAN (NERACA)
Per 31 Desember 2023 dan 2022
(dalam jutaan Rupiah)","","","","","","","","LAPORAN LABA (RUGI) KOMPREHENSIF
Untuk Tahun Yang Berakhir Pada Tanggal 31 Desember 2023 dan 2022
(dalam jutaan Rupiah)","","","","TINGKAT KESEHATAN KEUANGAN
Per 31 Desember 2023 dan 2022
(dalam jutaan Rupiah)","","",""
"","ASET","2023","2022","LIABILITAS DAN EKUITAS","","2023","2022","","URAIAN","2023","2022","","URAIAN
2023
2022","","",""
"","I.    
INVESTASI
1
Deposito Berjangka
2
Sertifikat Deposito
3
Saham
4
Obligasi Korporasi
5
MTN
6
Surat Berharga yang Diterbitkan oleh Negara RI
7
Surat Berharga yang Diterbitkan oleh Negara Selain Negara RI
8
Surat Berharga yang Diterbitkan oleh Bank Indonesia
9
Surat Berharga yang Diterbitkan oleh Lembaga Multinasional
10
Reksa Dana
11
Efek Beragun Aset
12
Dana Investasi Real Estat
13
REPO
14
Penyertaan Langsung
15
Tanah, Bangunan dengan Hak Strata, atau Tanah dengan Bangunan, untuk 
Investasi
16
Pembiayaan Melalui Kerjasama dengan Pihak Lain
17
Emas Murni
18
Pinjaman yang Dijamin dengan Hak Tanggungan
19
Pinjaman Polis
20
Investasi Lain
21
Jumlah Investasi (1 s/d 20)
II.   BUKAN INVESTASI
22
Kas dan Bank
23
Tagihan Premi Penutupan Langsung
24
Tagihan Premi Reasuransi
25
Aset Reasuransi
26
Tagihan Klaim Koasuransi
27
Tagihan Klaim Reasuransi
28
Tagihan Investasi
29
Tagihan Hasil Investasi
30
Bangunan dengan Hak Strata atau Tanah dengan Bangunan untuk Dipakai 
Sendiri
31
Biaya Akuisisi yang Ditangguhkan
32
Aset Tetap Lain
33
Aset Lain
34
Aset Pajak Tangguhan
34
Jumlah Bukan Investasi (22 s/d 33)
35
Jumlah Aset (21 + 34)","38,469
-
-
19,830
12,500
123,577
-
-
-
59,643
-
-
-
1,049
 
-
-
-
-
-
-
255,068
7,018
122,652
9,530
199,596
-
20,285
-
2,011
-
-
1,162
6,499
-
368,753
623,821","72,718
-
-
19,989
12,502
87,445
-
-
-
34,759
-
-
-
300
-
-
-
-
-
227,713
11,649
77,171
50,287
98,652
-
12,314
-
1,433
-
-
1,468
3,879
-
256,853
484,566","I.    UTANG
1 Utang Klaim
2 Utang Koasuransi
3 Utang Reasuransi
4 Utang Komisi
5 Utang Pajak
6 Biaya yang Masih Harus Dibayar
7 Utang Lain
8 Jumlah Utang (1 s/d 7)
II.   CADANGAN TEKNIS
9 Cadangan Premi
10
Cadangan Atas Premi Yang Belum Merupakan Pendapatan
11 Cadangan Klaim
12 Cadangan atas Risiko Bencana (Catastrophic)
13 Jumlah Cadangan Teknis (9 s/d 12)
14 Jumlah Liabilitas (8 + 13)
15 Pinjaman Subordinasi","","3,029
-
76,059
11,853
814
8
2,489
94,252
3,072
 
133,017
164,797
-
300,886
    
395,138
            
-
200,000
27,050
1,633
228,683
623,821","896
-
88,367
12,452
385
164
2,428
104,692
6,562
 
78,531
78,722
-
163,815
    
268,507
            
-
200,000
17,715
(1,656)
216,059
484,566","","1 PENDAPATAN UNDERWRITING
2 Premi Bruto
3 a. Premi Penutupan Langsung
4 b. Premi Penutupan Tidak Langsung
5 Jumlah Pendapatan Premi (3 + 4)
6 c. Komisi Dibayar
7 Jumlah Premi Bruto (5 - 6)
8 Premi Reasuransi
9 a. Premi Reasuransi Dibayar
10 b. Komisi Reasuransi Diterima
11 Jumlah Premi Reasuransi (9 - 10)
12 Jumlah Premi Neto (7 - 11)
13
Penurunan (Kenaikan) Cadangan Premi, CAPYBMP, dan 
Cadangan Catastrophic
14 a. Penurunan (Kenaikan) Cadangan Premi
15 b. Penurunan (Kenaikan) CAPYBMP
16
c.  Penurunan (kenaikan) Cadangan atas Risiko Bencana 
(Catastrophic)
17 Jumlah Penurunan (Kenaikan) Cadangan (14 s/d 16)
18 Jumlah Pendapatan Premi Neto (12 + 17)
19 Pendapatan Underwriting Lain Neto
20 Jumlah Pendapatan Underwriting (18 + 19)
21 BEBAN UNDERWRITING
22 Beban Klaim
23 a. Klaim Bruto
24 b. Klaim Reasuransi
25 c. Penurunan (Kenaikan) Cadangan Klaim
26 Jumlah Beban Klaim Neto (23 - 24 - 25)
27 Beban Underwriting Lain Neto
28 Jumlah Beban Underwriting (26 + 27)
29 HASIL UNDERWRITING (20 - 28)
30 Hasil Investasi
31 BEBAN USAHA
32 a. Beban Pemasaran
33 b. Beban Umum dan Administrasi
  - Beban Pegawai dan Pengurus
  - Beban Pendidikan dan Pelatihan
  - Beban Umum dan Administrasi Lainnya
c. Biaya Terkait Estimasi Kecelakaan Diri
34 Jumlah Beban Usaha (32 + 33)
35
Laba (Rugi) Usaha Asuransi (29 + 30 - 34)
36 Hasil (Beban) Lain
37
Laba (Rugi) Sebelum Pajak (35 + 36)
38 Pajak Penghasilan
39
Laba (Rugi) Setelah Pajak (37 + 38)
40 Pendapatan Komprehensif Lain
41
Total Laba (Rugi) Komprehensif (39 + 40)","255,210
40,995
296,205
32,235
263,970
168,204
31,832
136,372
     
127,598
         
1,262
     
(26,927)
 
153
 
(25,513)
102,086
                 
-
     
102,086
73,609
       
39,082
(13,142)
47,669
12,677
       
60,346
       
41,740
10,809
8,694
25,967
            
249
         
7,059
                 
-
       
41,969
       
10,580
        
(2,191)
         
8,389
             
-
         
8,389
         
2,740
 
11,129","171,795
81,013
252,808
39,159
213,649
170,141
37,404
132,737
       
80,912
            
725
         
3,683
 
-
 
4,408
85,320
               
(6)
       
85,314
51,876
       
25,327
(17,579)
44,128
1,240
       
45,368
       
39,946
13,086
17,488
23,401
            
103
         
6,203
                 
-
       
47,195
         
5,837
            
651
         
6,488
             
-
         
6,488
         
1,141
 
7,629","","","","",""
"","","","","","","","","","","","","","PEMENUHAN TINGKAT SOLVABILITAS","","",""
"","","","","","","","","","","","","","A. Tingkat Solvabilitas
a. Aset Yang Diperkenankan
b. Liabilitas (kecuali Pinjaman Subordinasi)
c. Jumlah Tingkat Solvabilitas (a-b)
B.  Modal Minimum Berbasis Risiko (MMBR)
a. Risiko Kredit
b. Risiko Likuiditas
c. Risiko Pasar
d. Risiko Asuransi
e. Risiko Operasional
f. Jumlah MMBR
C. Kelebihan (Kekurangan) Tingkat Solvabilitas
D. Rasio Pencapaian (%)*","581,962
395,138","453,940
268,507",""
"","","","","","","","","","","","","","","186,824","185,433",""
"","","","","","","","","","","","","","","16,872
346
3,045
24,111
330","12,007
-
3,677
13,406
296",""
"","","","","","","","","","","","","","","44,704","29,386",""
"","","","","","","","","","","","","","","142,120","156,047",""
"","","","","","","","","","","","","","","417.91%","631.02%",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","RASIO SELAIN TINGKAT SOLVABILITAS","","",""
"","","","","","","","","","","","","","a. Rasio Kecukupan Investasi (%)
b. Rasio Likuiditas (%)
c. Rasio Perimbangan Hasil Investasi dengan Pendapatan Premi Neto (%)
d. Rasio Beban (Klaim, Usaha, dan Komisi) terhadap Pendapatan Premi 
Neto (%)","","",""
"","","","","","","","","","","","","","","245.38%","336.78%",""
"","","","","","","","","","","","","","","157.25%","164.75%",""
"","","","","","","","","","","","","","","10.59%","15.03%",""
"","","","","","","","","","","","","","","88.20%","106.90%",""
"","","","","","III.  EKUITAS
16 Modal Disetor
17 Saldo Laba
18 Komponen Ekuitas Lainnya
19 Jumlah Ekuitas (16 s/d 18)
20 Jumlah Liabilitas dan Ekuitas (14 + 15 + 19)","","","","","","","","","","",""
"","","","","PEMILIK PERUSAHAAN
1. PT Candi Kapitalindo Utama
98%
2. Budi Herawan
2%","","","","","","","","","","","",""
"","KOMISARIS DAN DIREKSI","","","","","","","","","","","","","","",""
"","DEWAN KOMISARIS
KOMISARIS UTAMA              
:  Antonius Tonbeng
KOMISARIS                              
:  Djati Adi Wicaksono
KOMISARIS INDEPENDEN   
:  Maulana Ibrahim","","","","","","","","","","","","","","",""
"","","","","","REASURADUR UTAMA","","","","","","","","","","",""
"","","","","","NAMA REASURADUR","","%","","","","","","","","",""
